Filename	URN	Title	Author	Editor	Publisher	Publication Year
PL29_38_s..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_36_8..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_42_.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_34_8..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_15_IN.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_10_IN.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_6_a P.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_28_8..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_3_VET.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL18_17_PU.xml		None	None	None	None	None	[['div']]
PL18_16_AP.xml		None	None	None	None	None	[['div']]
PL18_5_ANN.xml		None	None	None	None	None	No citable units founds
PL18_9_SAN.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL18_0_ANN.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL18_13_AN.xml		None	None	None	None	None	[['div']]
PL18_7_EXH.xml		None	None	None	None	None	[['p']]
PL18_15_MA.xml		None	None	None	None	None	[['p']]
PL18_3_TIC.xml		None	None	None	None	None	[['div']]
PL18_10_AN.xml		None	None	None	None	None	[['div']]
